year,state_abbr,State Name,Population,Violent Crime,Homicide,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny,Motor Vehicle Theft,Total crime
2022,AK,Alaska," 733,583 "," 5,567 ", 70 , 551 ," 3,963 "," 13,124 "," 1,973 "," 9,350 "," 1,801 "," 769,982 "
2022,AL,Alabama," 5,074,296 "," 20,759 ", 552 ," 1,750 "," 16,953 "," 88,240 "," 14,408 "," 63,566 "," 10,266 "," 5,290,790 "
2022,AR,Arkansas," 3,045,637 "," 19,654 ", 312 ," 1,208 "," 15,819 "," 74,664 "," 14,204 "," 52,824 "," 7,636 "," 3,231,958 "
2022,AZ,Arizona," 7,359,197 "," 31,754 ", 500 ," 5,160 "," 22,848 "," 151,421 "," 19,941 "," 113,508 "," 17,972 "," 7,722,301 "
2022,CA,California," 39,029,342 "," 194,935 "," 2,231 "," 48,192 "," 129,899 "," 914,517 "," 145,141 "," 585,181 "," 184,195 "," 41,233,633 "
2022,CO,Colorado," 5,839,926 "," 28,759 ", 375 ," 4,241 "," 20,443 "," 183,816 "," 23,077 "," 114,856 "," 45,883 "," 6,261,376 "
2022,CT,Connecticut," 3,626,205 "," 5,441 ", 136 ," 1,629 "," 3,020 "," 54,175 "," 4,716 "," 42,359 "," 7,100 "," 3,744,781 "
2022,DC,District of Columbia," 671,803 "," 5,457 ", 197 ," 2,402 "," 2,579 "," 23,926 "," 1,352 "," 18,696 "," 3,878 "," 730,290 "
2022,DE,Delaware," 1,018,396 "," 3,906 ", 49 , 580 ," 3,053 "," 20,002 "," 2,068 "," 16,204 "," 1,730 "," 1,065,988 "
2022,FL,Florida," 22,244,823 "," 57,587 "," 1,113 "," 7,477 "," 42,283 "," 348,403 "," 38,594 "," 279,116 "," 30,693 "," 23,050,089 "
2022,GA,Georgia," 10,912,876 "," 40,048 ", 893 ," 4,753 "," 30,425 "," 184,513 "," 23,772 "," 138,207 "," 22,534 "," 11,358,021 "
2022,HI,Hawaii," 1,440,196 "," 3,739 ", 30 , 952 ," 2,211 "," 35,065 "," 3,745 "," 25,459 "," 5,861 "," 1,517,258 "
2022,IA,Iowa," 3,200,517 "," 9,170 ", 53 , 692 ," 7,064 "," 42,614 "," 6,997 "," 30,899 "," 4,718 "," 3,302,724 "
2022,ID,Idaho," 1,939,033 "," 4,681 ", 53 , 159 ," 3,524 "," 17,972 "," 3,075 "," 13,129 "," 1,768 "," 1,983,394 "
2022,IL,Illinois," 12,582,032 "," 36,149 ", 982 ," 10,655 "," 18,460 "," 211,721 "," 26,229 "," 150,061 "," 35,431 "," 13,071,720 "
2022,IN,Indiana," 6,833,037 "," 20,925 ", 427 ," 2,936 "," 15,321 "," 105,514 "," 15,449 "," 76,437 "," 13,628 "," 7,083,674 "
2022,KS,Kansas," 2,937,150 "," 12,178 ", 134 , 859 ," 9,850 "," 58,515 "," 8,029 "," 43,725 "," 6,761 "," 3,077,201 "
2022,KY,Kentucky," 4,512,310 "," 9,663 ", 306 ," 1,720 "," 6,110 "," 65,375 "," 11,044 "," 44,664 "," 9,667 "," 4,660,859 "
2022,LA,Louisiana," 4,590,241 "," 28,852 ", 740 ," 3,091 "," 23,046 "," 126,147 "," 22,850 "," 89,052 "," 14,245 "," 4,898,264 "
2022,MA,Massachusetts," 6,981,974 "," 22,484 ", 148 ," 2,630 "," 17,673 "," 74,714 "," 9,968 "," 57,784 "," 6,962 "," 7,174,337 "
2022,MD,Maryland," 6,164,660 "," 24,565 ", 526 ," 7,038 "," 15,116 "," 100,818 "," 11,728 "," 75,539 "," 13,551 "," 6,413,541 "
2022,ME,Maine," 1,385,340 "," 1,431 ", 30 , 139 , 818 ," 16,811 "," 1,605 "," 14,224 ", 982 ," 1,421,380 "
2022,MI,Michigan," 10,034,113 "," 46,257 ", 695 ," 3,672 "," 35,386 "," 154,203 "," 21,503 "," 105,887 "," 26,813 "," 10,428,529 "
